k,features,sil score,CH score
2,AU01_r_AU09_r,0.689890637452,1449815.20231
3,AU01_r_AU09_r,0.571308118811,1299771.9872
4,AU01_r_AU09_r,0.608307399954,1605511.4646
5,AU01_r_AU09_r,0.573869898997,1651055.96438
6,AU01_r_AU09_r,0.564469641473,1730884.18054
7,AU01_r_AU09_r,0.559657089088,1823231.65207
8,AU01_r_AU09_r,0.545441682102,1812885.61575
9,AU01_r_AU09_r,0.54393117846,1852946.53892
10,AU01_r_AU09_r,0.550053361278,1928085.77628
11,AU01_r_AU09_r,0.544487723471,1973914.00488
12,AU01_r_AU09_r,0.553679294517,2005196.95594
13,AU01_r_AU09_r,0.542199968034,2035192.57976
14,AU01_r_AU09_r,0.542473725575,2094660.37976
15,AU01_r_AU09_r,0.534099481124,2106769.32193
2,AU01_r_AU10_r,0.458906135635,1002231.10323
3,AU01_r_AU10_r,0.504603338039,1243796.9933
4,AU01_r_AU10_r,0.459972773629,1320143.98621
5,AU01_r_AU10_r,0.469170597946,1305193.50857
6,AU01_r_AU10_r,0.442716241717,1304100.60665
7,AU01_r_AU10_r,0.459682097739,1353320.49438
8,AU01_r_AU10_r,0.459816456942,1341493.46137
9,AU01_r_AU10_r,0.446326638982,1365515.51593
10,AU01_r_AU10_r,0.455954744476,1392243.41238
11,AU01_r_AU10_r,0.461013432976,1383904.13412
12,AU01_r_AU10_r,0.448871923667,1398146.30532
13,AU01_r_AU10_r,0.450595007369,1421687.26645
14,AU01_r_AU10_r,0.45292117647,1432846.69174
15,AU01_r_AU10_r,0.459388161922,1439433.76849
2,AU01_r_AU12_r,0.497634392157,1015742.34662
3,AU01_r_AU12_r,0.532487354948,1208749.22544
4,AU01_r_AU12_r,0.47448850331,1412183.19925
5,AU01_r_AU12_r,0.477330981567,1404662.96392
6,AU01_r_AU12_r,0.456052662657,1479477.93389
7,AU01_r_AU12_r,0.466978255265,1475447.15465
8,AU01_r_AU12_r,0.443029885747,1480668.71387
9,AU01_r_AU12_r,0.449425843644,1519798.62619
10,AU01_r_AU12_r,0.458144222474,1524066.6933
11,AU01_r_AU12_r,0.445264090097,1542498.11611
12,AU01_r_AU12_r,0.448275415487,1552169.55833
13,AU01_r_AU12_r,0.452777184452,1558406.89607
14,AU01_r_AU12_r,0.442327645588,1566736.50827
15,AU01_r_AU12_r,0.447962874678,1586301.92976
2,AU01_r_AU14_r,0.474577106773,1139637.24744
3,AU01_r_AU14_r,0.509800529919,1199909.0244
4,AU01_r_AU14_r,0.472131490819,1326449.93936
5,AU01_r_AU14_r,0.468855788089,1269426.99909
6,AU01_r_AU14_r,0.449754220246,1296634.49636
7,AU01_r_AU14_r,0.464055297423,1344581.26157
8,AU01_r_AU14_r,0.44333433064,1338672.72941
9,AU01_r_AU14_r,0.456664434975,1349832.55028
10,AU01_r_AU14_r,0.458989755629,1392001.19239
11,AU01_r_AU14_r,0.444567727212,1395035.42503
12,AU01_r_AU14_r,0.451354868173,1395108.50425
